video,url,frame,color,framerate,descr_timeunit,width,height,aspect_ratio,activity,luminance_range,blurriness,noise
video_220,https://h5.mediathek.at/cdn.php?t=media&i=1F10C261-37D-000DC-00001471-1F100E2D&ft=mp4,23000,color,25.0,0.04,720,540,1.333333,8,0.458876,0.553356,0.073678
video_220,https://h5.mediathek.at/cdn.php?t=media&i=1F10C261-37D-000DC-00001471-1F100E2D&ft=mp4,26750,color,25.0,0.04,720,540,1.333333,156,0.850092,0.605559,0.16955
video_220,https://h5.mediathek.at/cdn.php?t=media&i=1F10C261-37D-000DC-00001471-1F100E2D&ft=mp4,5250,color,25.0,0.04,720,540,1.333333,47,0.568418,0.562522,0.086109
video_221,https://h5.mediathek.at/cdn.php?t=media&i=1F10C67A-160-000E3-00001471-1F100E2D&ft=mp4,4250,color,25.0,0.04,720,540,1.333333,11,0.701595,0.532177,0.0534272
video_222,https://h5.mediathek.at/cdn.php?t=media&i=1F10D4FD-137-000EB-00001471-1F100E2D&ft=mp4,14250,black_white,25.0,0.04,720,540,1.333333,117,0.734065,0.53797,0.141188
video_222,https://h5.mediathek.at/cdn.php?t=media&i=1F10D4FD-137-000EB-00001471-1F100E2D&ft=mp4,19500,black_white,25.0,0.04,720,540,1.333333,48,0.684078,0.597661,0.0685402
video_222,https://h5.mediathek.at/cdn.php?t=media&i=1F10D4FD-137-000EB-00001471-1F100E2D&ft=mp4,24250,black_white,25.0,0.04,720,540,1.333333,57,0.816105,0.679208,0.143222
video_222,https://h5.mediathek.at/cdn.php?t=media&i=1F10D4FD-137-000EB-00001471-1F100E2D&ft=mp4,3500,black_white,25.0,0.04,720,540,1.333333,87,0.855686,0.523504,0.172126
video_224,https://h5.mediathek.at/cdn.php?t=media&i=1F10D938-21F-000F3-00001471-1F100E2D&ft=mp4,11000,color,25.0,0.04,720,540,1.333333,12,0.972549,0.102404,0.0075032
video_224,https://h5.mediathek.at/cdn.php?t=media&i=1F10D938-21F-000F3-00001471-1F100E2D&ft=mp4,13500,color,25.0,0.04,720,540,1.333333,8,0.862013,0.126549,0.0
video_224,https://h5.mediathek.at/cdn.php?t=media&i=1F10D938-21F-000F3-00001471-1F100E2D&ft=mp4,1750,color,25.0,0.04,720,540,1.333333,30,0.814797,0.268852,0.0599441
video_226,https://h5.mediathek.at/cdn.php?t=media&i=1F10DD78-3A3-000FB-00001471-1F100E2D&ft=mp4,6500,color,25.0,0.04,720,540,1.333333,21,0.848837,0.509442,0.0613724
video_228,https://h5.mediathek.at/cdn.php?t=media&i=1F19BF51-379-000BA-00001549-1F1948AD&ft=mp4,1500,color,25.0,0.04,720,540,1.333333,17,0.839791,0.282541,0.0185064
video_228,https://h5.mediathek.at/cdn.php?t=media&i=1F19BF51-379-000BA-00001549-1F1948AD&ft=mp4,18000,color,25.0,0.04,720,540,1.333333,45,0.791948,0.372444,0.021224
video_228,https://h5.mediathek.at/cdn.php?t=media&i=1F19BF51-379-000BA-00001549-1F1948AD&ft=mp4,19250,color,25.0,0.04,720,540,1.333333,,0.784261,0.347935,0.0
video_230,https://h5.mediathek.at/cdn.php?t=media&i=1F07AB82-27D-00123-00000AD8-1F06D3AD&ft=mp4,13750,color,25.0,0.04,720,540,1.333333,64,0.587712,0.513626,0.206406
video_230,https://h5.mediathek.at/cdn.php?t=media&i=1F07AB82-27D-00123-00000AD8-1F06D3AD&ft=mp4,18500,color,25.0,0.04,720,540,1.333333,38,0.647163,0.550195,0.192826
video_230,https://h5.mediathek.at/cdn.php?t=media&i=1F07AB82-27D-00123-00000AD8-1F06D3AD&ft=mp4,2750,color,25.0,0.04,720,540,1.333333,18,0.275346,0.610258,0.146768
video_231,https://h5.mediathek.at/cdn.php?t=media&i=1F07AE14-0CA-00126-00000AD8-1F06D3AD&ft=mp4,1500,black_white,25.0,0.04,720,540,1.333333,30,0.666928,0.5233,0.0880995
video_231,https://h5.mediathek.at/cdn.php?t=media&i=1F07AE14-0CA-00126-00000AD8-1F06D3AD&ft=mp4,1750,black_white,25.0,0.04,720,540,1.333333,27,0.655268,0.566221,0.061847
video_231,https://h5.mediathek.at/cdn.php?t=media&i=1F07AE14-0CA-00126-00000AD8-1F06D3AD&ft=mp4,2000,black_white,25.0,0.04,720,540,1.333333,16,0.639582,0.339611,0.107215
video_232,https://h5.mediathek.at/cdn.php?t=media&i=1F07B233-3C0-0012C-00000AD8-1F06D3AD&ft=mp4,26000,color,25.0,0.04,720,540,1.333333,111,0.829856,0.446018,0.161913
video_232,https://h5.mediathek.at/cdn.php?t=media&i=1F07B233-3C0-0012C-00000AD8-1F06D3AD&ft=mp4,28000,color,25.0,0.04,720,540,1.333333,35,0.867712,0.359454,0.15461
video_232,https://h5.mediathek.at/cdn.php?t=media&i=1F07B233-3C0-0012C-00000AD8-1F06D3AD&ft=mp4,5750,color,25.0,0.04,720,540,1.333333,12,0.735529,0.476134,0.0
video_233,https://h5.mediathek.at/cdn.php?t=media&i=1F1080D7-0C0-00053-00001471-1F100E2D&ft=mp4,3500,black_white,25.0,0.04,720,540,1.333333,22,0.508026,0.551012,0.0758998
video_233,https://h5.mediathek.at/cdn.php?t=media&i=1F1080D7-0C0-00053-00001471-1F100E2D&ft=mp4,4000,black_white,25.0,0.04,720,540,1.333333,35,0.558745,0.499411,0.135159
video_233,https://h5.mediathek.at/cdn.php?t=media&i=1F1080D7-0C0-00053-00001471-1F100E2D&ft=mp4,6250,black_white,25.0,0.04,720,540,1.333333,20,0.549124,0.538076,0.0925637
video_235,https://h5.mediathek.at/cdn.php?t=media&i=1F2346E8-1C6-00237-0000149E-1F22832D&ft=mp4,13500,black_white,25.0,0.04,720,540,1.333333,36,0.679948,0.630882,0.11801
video_235,https://h5.mediathek.at/cdn.php?t=media&i=1F2346E8-1C6-00237-0000149E-1F22832D&ft=mp4,37000,black_white,25.0,0.04,720,540,1.333333,37,0.61532,0.62321,0.110195
video_235,https://h5.mediathek.at/cdn.php?t=media&i=1F2346E8-1C6-00237-0000149E-1F22832D&ft=mp4,40250,black_white,25.0,0.04,720,540,1.333333,64,0.647843,0.613069,0.105297
video_235,https://h5.mediathek.at/cdn.php?t=media&i=1F2346E8-1C6-00237-0000149E-1F22832D&ft=mp4,9000,black_white,25.0,0.04,720,540,1.333333,39,0.622745,0.570093,0.0836885
video_236,https://h5.mediathek.at/cdn.php?t=media&i=1F234810-07C-0023B-0000149E-1F22832D&ft=mp4,14000,black_white,25.0,0.04,720,540,1.333333,78,0.770039,0.575639,0.201026
video_236,https://h5.mediathek.at/cdn.php?t=media&i=1F234810-07C-0023B-0000149E-1F22832D&ft=mp4,16750,black_white,25.0,0.04,720,540,1.333333,59,0.690301,0.583976,0.149664
video_236,https://h5.mediathek.at/cdn.php?t=media&i=1F234810-07C-0023B-0000149E-1F22832D&ft=mp4,28500,black_white,25.0,0.04,720,540,1.333333,25,0.430379,0.633243,0.0966074
video_236,https://h5.mediathek.at/cdn.php?t=media&i=1F234810-07C-0023B-0000149E-1F22832D&ft=mp4,6750,black_white,25.0,0.04,720,540,1.333333,19,0.712314,0.557497,0.15951
video_236,https://h5.mediathek.at/cdn.php?t=media&i=1F234810-07C-0023B-0000149E-1F22832D&ft=mp4,8250,black_white,25.0,0.04,720,540,1.333333,54,0.755817,0.625322,0.107203
video_237,https://h5.mediathek.at/cdn.php?t=media&i=1F234AC3-332-0023F-0000149E-1F22832D&ft=mp4,4750,color,25.0,0.04,720,540,1.333333,77,0.588915,0.517389,0.164004
video_237,https://h5.mediathek.at/cdn.php?t=media&i=1F234AC3-332-0023F-0000149E-1F22832D&ft=mp4,48500,color,25.0,0.04,720,540,1.333333,30,0.843137,0.561019,0.011726
video_238,https://h5.mediathek.at/cdn.php?t=media&i=1F234C99-14A-00246-0000149E-1F22832D&ft=mp4,16000,color,25.0,0.04,720,540,1.333333,58,0.769725,0.430786,0.170987
video_238,https://h5.mediathek.at/cdn.php?t=media&i=1F234C99-14A-00246-0000149E-1F22832D&ft=mp4,17750,color,25.0,0.04,720,540,1.333333,20,0.828183,0.292575,0.0820367
video_238,https://h5.mediathek.at/cdn.php?t=media&i=1F234C99-14A-00246-0000149E-1F22832D&ft=mp4,20250,color,25.0,0.04,720,540,1.333333,22,0.844967,0.34955,0.158801
video_238,https://h5.mediathek.at/cdn.php?t=media&i=1F234C99-14A-00246-0000149E-1F22832D&ft=mp4,45500,color,25.0,0.04,720,540,1.333333,75,0.980183,0.391395,0.131987
video_239,https://h5.mediathek.at/cdn.php?t=media&i=1F234DE6-091-0024A-0000149E-1F22832D&ft=mp4,12250,color,25.0,0.04,720,540,1.333333,74,0.87634,0.398574,0.240552
video_239,https://h5.mediathek.at/cdn.php?t=media&i=1F234DE6-091-0024A-0000149E-1F22832D&ft=mp4,2500,color,25.0,0.04,720,540,1.333333,43,0.606588,0.562307,0.0462345
video_239,https://h5.mediathek.at/cdn.php?t=media&i=1F234DE6-091-0024A-0000149E-1F22832D&ft=mp4,3500,color,25.0,0.04,720,540,1.333333,22,0.689255,0.521874,0.0603721
video_240,https://h5.mediathek.at/cdn.php?t=media&i=018AA078-147-0188A-00000484-0189A3E5&ft=mp4,10250,black_white,25.0,0.04,720,540,1.333333,45,0.508444,0.644737,0.111062
video_240,https://h5.mediathek.at/cdn.php?t=media&i=018AA078-147-0188A-00000484-0189A3E5&ft=mp4,7000,black_white,25.0,0.04,720,540,1.333333,36,0.651608,0.619921,0.0976655
video_241,https://h5.mediathek.at/cdn.php?t=media&i=018AA55D-04C-01F6F-00000484-0189A3E5&ft=mp4,9000,color,25.0,0.04,720,540,1.333333,8,0.606118,0.372186,0.188404
video_243,https://h5.mediathek.at/cdn.php?t=media&i=018AA622-366-02085-00000484-0189A3E5&ft=mp4,11000,color,25.0,0.04,720,540,1.333333,22,0.548549,0.536039,0.131959
video_245,https://h5.mediathek.at/cdn.php?t=media&i=018AA6A9-093-0213C-00000484-0189A3E5&ft=mp4,21750,color,25.0,0.04,720,540,1.333333,63,0.592209,0.546503,0.0838113
video_245,https://h5.mediathek.at/cdn.php?t=media&i=018AA6A9-093-0213C-00000484-0189A3E5&ft=mp4,30500,color,25.0,0.04,720,540,1.333333,7,0.761412,0.58361,0.0249476
video_245,https://h5.mediathek.at/cdn.php?t=media&i=018AA6A9-093-0213C-00000484-0189A3E5&ft=mp4,42250,color,25.0,0.04,720,540,1.333333,42,0.716758,0.529628,0.0805568
video_245,https://h5.mediathek.at/cdn.php?t=media&i=018AA6A9-093-0213C-00000484-0189A3E5&ft=mp4,42500,color,25.0,0.04,720,540,1.333333,22,0.726013,0.522224,0.0470204
video_245,https://h5.mediathek.at/cdn.php?t=media&i=018AA6A9-093-0213C-00000484-0189A3E5&ft=mp4,7250,color,25.0,0.04,720,540,1.333333,31,0.747556,0.61152,0.153423
video_247,https://h5.mediathek.at/cdn.php?t=media&i=1F1F7117-1E5-00170-000061A1-1F1E8EAD&ft=mp4,2000,color,25.0,0.04,720,540,1.333333,55,0.54881,0.544013,0.106253
video_247,https://h5.mediathek.at/cdn.php?t=media&i=1F1F7117-1E5-00170-000061A1-1F1E8EAD&ft=mp4,4250,color,25.0,0.04,720,540,1.333333,41,0.607634,0.553224,0.121717
video_247,https://h5.mediathek.at/cdn.php?t=media&i=1F1F7117-1E5-00170-000061A1-1F1E8EAD&ft=mp4,45750,color,25.0,0.04,720,540,1.333333,25,0.666824,0.57988,0.249181
video_248,https://h5.mediathek.at/cdn.php?t=media&i=1F233B27-3CC-001F7-0000149E-1F22832D&ft=mp4,8750,color,25.0,0.04,720,540,1.333333,19,0.733752,0.57703,0.04084
video_248,https://h5.mediathek.at/cdn.php?t=media&i=1F233B27-3CC-001F7-0000149E-1F22832D&ft=mp4,9000,color,25.0,0.04,720,540,1.333333,31,0.741595,0.595499,0.158822
video_249,https://h5.mediathek.at/cdn.php?t=media&i=1F233E48-177-0022C-0000149E-1F22832D&ft=mp4,14000,black_white,25.0,0.04,720,540,1.333333,60,0.650092,0.642793,0.199489
video_249,https://h5.mediathek.at/cdn.php?t=media&i=1F233E48-177-0022C-0000149E-1F22832D&ft=mp4,15250,black_white,25.0,0.04,720,540,1.333333,31,0.723033,0.712097,0.135801
video_249,https://h5.mediathek.at/cdn.php?t=media&i=1F233E48-177-0022C-0000149E-1F22832D&ft=mp4,21250,black_white,25.0,0.04,720,540,1.333333,11,0.556601,0.432399,0.0336481
video_250,https://h5.mediathek.at/cdn.php?t=media&i=018AA24D-2B0-01B2F-00000484-0189A3E5&ft=mp4,8000,color,25.0,0.04,720,540,1.333333,12,0.597542,0.50792,0.166058
video_251,https://h5.mediathek.at/cdn.php?t=media&i=018AA324-09C-01C53-00000484-0189A3E5&ft=mp4,11500,color,25.0,0.04,720,540,1.333333,43,0.904575,0.0,0.0773219
video_251,https://h5.mediathek.at/cdn.php?t=media&i=018AA324-09C-01C53-00000484-0189A3E5&ft=mp4,1500,color,25.0,0.04,720,540,1.333333,70,0.807739,0.0,0.106376
video_251,https://h5.mediathek.at/cdn.php?t=media&i=018AA324-09C-01C53-00000484-0189A3E5&ft=mp4,5750,color,25.0,0.04,720,540,1.333333,119,0.727686,0.0,0.192874
video_252,https://h5.mediathek.at/cdn.php?t=media&i=018AA366-29C-01CAE-00000484-0189A3E5&ft=mp4,29750,color,25.0,0.04,720,540,1.333333,31,0.689046,0.504745,0.19215
video_252,https://h5.mediathek.at/cdn.php?t=media&i=018AA366-29C-01CAE-00000484-0189A3E5&ft=mp4,7000,color,25.0,0.04,720,540,1.333333,36,0.778458,0.492056,0.112903
video_253,https://h5.mediathek.at/cdn.php?t=media&i=018AA4A9-3D1-01E70-00000484-0189A3E5&ft=mp4,6750,black_white,25.0,0.04,720,540,1.333333,52,0.730248,0.342486,0.221439
video_253,https://h5.mediathek.at/cdn.php?t=media&i=018AA4A9-3D1-01E70-00000484-0189A3E5&ft=mp4,8250,black_white,25.0,0.04,720,540,1.333333,46,0.605229,0.52852,0.0758286
video_253,https://h5.mediathek.at/cdn.php?t=media&i=018AA4A9-3D1-01E70-00000484-0189A3E5&ft=mp4,9750,black_white,25.0,0.04,720,540,1.333333,55,0.650196,0.335256,0.0893046
video_254,https://h5.mediathek.at/cdn.php?t=media&i=018AA501-13E-01EEC-00000484-0189A3E5&ft=mp4,16250,color,25.0,0.04,720,540,1.333333,85,0.728575,0.503086,0.268198
video_254,https://h5.mediathek.at/cdn.php?t=media&i=018AA501-13E-01EEC-00000484-0189A3E5&ft=mp4,26250,color,25.0,0.04,720,540,1.333333,25,0.720575,0.552584,0.0526756
video_254,https://h5.mediathek.at/cdn.php?t=media&i=018AA501-13E-01EEC-00000484-0189A3E5&ft=mp4,26500,color,25.0,0.04,720,540,1.333333,34,0.644601,0.627233,0.134085
video_255,https://h5.mediathek.at/cdn.php?t=media&i=018AA503-173-01EEF-00000484-0189A3E5&ft=mp4,13000,color,25.0,0.04,720,540,1.333333,86,0.769569,0.438458,0.199121
video_255,https://h5.mediathek.at/cdn.php?t=media&i=018AA503-173-01EEF-00000484-0189A3E5&ft=mp4,14750,color,25.0,0.04,720,540,1.333333,25,0.759843,0.538978,0.0168662
video_255,https://h5.mediathek.at/cdn.php?t=media&i=018AA503-173-01EEF-00000484-0189A3E5&ft=mp4,38000,color,25.0,0.04,720,540,1.333333,32,0.580183,0.571537,0.0791125
video_256,https://h5.mediathek.at/cdn.php?t=media&i=018AA505-28E-01EF2-00000484-0189A3E5&ft=mp4,12750,color,25.0,0.04,720,540,1.333333,12,0.55634,0.543852,0.049388
video_256,https://h5.mediathek.at/cdn.php?t=media&i=018AA505-28E-01EF2-00000484-0189A3E5&ft=mp4,7250,color,25.0,0.04,720,540,1.333333,15,0.620497,0.327381,0.0464585
video_257,https://h5.mediathek.at/cdn.php?t=media&i=018AA510-17B-01F01-00000484-0189A3E5&ft=mp4,8500,color,25.0,0.04,720,540,1.333333,16,0.765072,0.452183,0.0243832
video_258,https://h5.mediathek.at/cdn.php?t=media&i=018AA529-20C-01F25-00000484-0189A3E5&ft=mp4,28500,color,25.0,0.04,720,540,1.333333,,0.865359,0.51893,0.134315
video_258,https://h5.mediathek.at/cdn.php?t=media&i=018AA529-20C-01F25-00000484-0189A3E5&ft=mp4,3500,color,25.0,0.04,720,540,1.333333,47.0,0.864052,0.528994,0.146406
video_258,https://h5.mediathek.at/cdn.php?t=media&i=018AA529-20C-01F25-00000484-0189A3E5&ft=mp4,6250,color,25.0,0.04,720,540,1.333333,25.0,0.865882,0.53989,0.10989
video_260,https://h5.mediathek.at/cdn.php?t=media&i=018AA073-244-01883-00000484-0189A3E5&ft=mp4,12000,black_white,25.0,0.04,720,540,1.333333,88,0.784889,0.312587,0.180321
video_260,https://h5.mediathek.at/cdn.php?t=media&i=018AA073-244-01883-00000484-0189A3E5&ft=mp4,18000,black_white,25.0,0.04,720,540,1.333333,38,0.585255,0.384848,0.126885
video_260,https://h5.mediathek.at/cdn.php?t=media&i=018AA073-244-01883-00000484-0189A3E5&ft=mp4,3000,black_white,25.0,0.04,720,540,1.333333,16,0.798222,0.307502,0.0436079
video_260,https://h5.mediathek.at/cdn.php?t=media&i=018AA073-244-01883-00000484-0189A3E5&ft=mp4,3500,black_white,25.0,0.04,720,540,1.333333,57,0.735425,0.305038,0.102993
video_260,https://h5.mediathek.at/cdn.php?t=media&i=018AA073-244-01883-00000484-0189A3E5&ft=mp4,5500,black_white,25.0,0.04,720,540,1.333333,45,0.793046,0.345814,0.0806538
video_260,https://h5.mediathek.at/cdn.php?t=media&i=018AA073-244-01883-00000484-0189A3E5&ft=mp4,9750,black_white,25.0,0.04,720,540,1.333333,92,0.888314,0.0992753,0.187186
video_261,https://h5.mediathek.at/cdn.php?t=media&i=018AA0CC-0AD-01905-00000484-0189A3E5&ft=mp4,6250,black_white,25.0,0.04,720,540,1.333333,85,0.958379,0.56196,0.167319
video_268,https://h5.mediathek.at/cdn.php?t=media&i=018AA165-286-019E7-00000484-0189A3E5&ft=mp4,1000,color,25.0,0.04,720,540,1.333333,160,0.809412,0.40941,0.351529
video_269,https://h5.mediathek.at/cdn.php?t=media&i=018AA3E7-1DD-01D5F-00000484-0189A3E5&ft=mp4,17250,color,25.0,0.04,720,540,1.333333,65,0.705412,0.532107,0.147018
video_271,https://h5.mediathek.at/cdn.php?t=media&i=018AA0A1-2D4-018C7-00000484-0189A3E5&ft=mp4,6500,black_white,25.0,0.04,720,540,1.333333,59,0.538771,0.509072,0.188142
video_271,https://h5.mediathek.at/cdn.php?t=media&i=018AA0A1-2D4-018C7-00000484-0189A3E5&ft=mp4,8750,black_white,25.0,0.04,720,540,1.333333,71,0.43702,0.146197,0.171602
video_272,https://h5.mediathek.at/cdn.php?t=media&i=018AA0BD-111-018EF-00000484-0189A3E5&ft=mp4,1000,black_white,25.0,0.04,720,540,1.333333,47,0.945046,0.573466,0.202943
video_274,https://h5.mediathek.at/cdn.php?t=media&i=018AA0DE-058-0191F-00000484-0189A3E5&ft=mp4,4500,black_white,25.0,0.04,720,540,1.333333,18,0.822797,0.614078,0.157803
video_274,https://h5.mediathek.at/cdn.php?t=media&i=018AA0DE-058-0191F-00000484-0189A3E5&ft=mp4,8500,black_white,25.0,0.04,720,540,1.333333,20,0.77302,0.644536,0.151637
video_276,https://h5.mediathek.at/cdn.php?t=media&i=018AAD9C-2CD-02A93-00000484-0189A3E5&ft=mp4,1000,color,25.0,0.04,720,540,1.333333,222,0.89234,0.308672,0.254712
video_276,https://h5.mediathek.at/cdn.php?t=media&i=018AAD9C-2CD-02A93-00000484-0189A3E5&ft=mp4,11500,color,25.0,0.04,720,540,1.333333,37,0.778824,0.510018,0.0765873
video_276,https://h5.mediathek.at/cdn.php?t=media&i=018AAD9C-2CD-02A93-00000484-0189A3E5&ft=mp4,45250,color,25.0,0.04,720,540,1.333333,71,0.874876,0.482236,0.133371
video_276,https://h5.mediathek.at/cdn.php?t=media&i=018AAD9C-2CD-02A93-00000484-0189A3E5&ft=mp4,6750,color,25.0,0.04,720,540,1.333333,28,0.813699,0.501393,0.0439561
video_277,https://h5.mediathek.at/cdn.php?t=media&i=018AAECD-03B-02C59-00000484-0189A3E5&ft=mp4,2000,color,25.0,0.04,720,540,1.333333,13,0.839268,0.275291,0.0
video_277,https://h5.mediathek.at/cdn.php?t=media&i=018AAECD-03B-02C59-00000484-0189A3E5&ft=mp4,35000,color,25.0,0.04,720,540,1.333333,79,0.899346,0.278655,0.195534
video_278,https://h5.mediathek.at/cdn.php?t=media&i=09BD43CB-145-002E6-00000B6C-09BC69D5&ft=mp4,4750,color,25.0,0.04,720,540,1.333333,24,0.639007,0.461107,0.0626847
video_282,https://h5.mediathek.at/cdn.php?t=media&i=018AA4B1-2EC-01E7B-00000484-0189A3E5&ft=mp4,15250,color,25.0,0.04,720,540,1.333333,41,0.752209,0.568361,0.0471218
video_282,https://h5.mediathek.at/cdn.php?t=media&i=018AA4B1-2EC-01E7B-00000484-0189A3E5&ft=mp4,15500,color,25.0,0.04,720,540,1.333333,,0.743948,0.578182,0.0442894
video_282,https://h5.mediathek.at/cdn.php?t=media&i=018AA4B1-2EC-01E7B-00000484-0189A3E5&ft=mp4,16000,color,25.0,0.04,720,540,1.333333,61,0.867399,0.575283,0.0947815
video_282,https://h5.mediathek.at/cdn.php?t=media&i=018AA4B1-2EC-01E7B-00000484-0189A3E5&ft=mp4,16500,color,25.0,0.04,720,540,1.333333,32,0.828288,0.517751,0.0256487
